time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429805943	471800	0	0	0	0	0	0	0	0	0
1429805943	571812	0	0	0	0	0	0	0	0	0
1429805943	671756	0	0	0	0	0	0	0	0	0
1429805943	771762	0	0	0	0	0	0	0	0	0
1429805943	871768	0	0	0	0	0	0	0	0	0
1429805943	971767	0	0	0	0	0	0	0	0	0
1429805944	71754	0	0	0	0	0	0	0	0	0
1429805944	171771	0	0	0	0	0	0	0	0	0
1429805944	271787	0	0	0	0	0	0	0	0	0
1429805944	371783	0	0	0	0	0	0	0	0	0
1429805944	471770	0	0	0	0	0	0	0	0	0
1429805944	571768	0	0	0	0	0	0	0	0	0
1429805944	671752	0	0	0	0	0	0	0	0	0
1429805944	771773	0	0	0	0	0	0	0	0	0
1429805944	871774	0	0	0	0	0	0	0	0	0
1429805944	971765	0	0	0	0	0	0	0	0	0
1429805945	71770	0	0	0	0	0	0	0	0	0
1429805945	171763	0	0	0	0	0	0	0	0	0
1429805945	271772	0	0	0	0	0	0	0	0	0
1429805945	371767	0	0	0	0	0	0	0	0	0
1429805945	471784	0	0	0	0	0	0	0	0	0
1429805945	571765	0	0	0	0	0	0	0	0	0
1429805945	671767	0	0	0	0	0	0	0	0	0
1429805945	771772	0	0	0	0	0	0	0	0	0
1429805945	871824	0	0	0	0	0	0	0	0	0
1429805945	971785	0	0	0	0	0	0	0	0	0
1429805946	71772	0	0	0	0	0	0	0	0	0
1429805946	171779	0	0	0	0	0	0	0	0	0
1429805946	271773	0	0	0	0	0	0	0	0	0
1429805946	371774	0	0	0	0	0	0	0	0	0
1429805946	471767	0	0	0	0	0	0	0	0	0
1429805946	571785	0	0	0	0	0	0	0	0	0
1429805946	671833	0	0	0	0	0	0	0	0	0
1429805946	771771	0	0	0	0	0	0	0	0	0
1429805946	871816	0	0	0	0	0	0	0	0	0
1429805946	971828	0	0	0	0	0	0	0	0	0
1429805947	71787	0	0	0	0	0	0	0	0	0
1429805947	171798	0	0	0	0	0	0	0	0	0
1429805947	271806	0	0	0	0	0	0	0	0	0
1429805947	371816	0	0	0	0	0	0	0	0	0
1429805947	471804	0	0	0	0	0	0	0	0	0
1429805947	571811	0	0	0	0	0	0	0	0	0
1429805947	671808	0	0	0	0	0	0	0	0	0
1429805947	771819	0	0	0	0	0	0	0	0	0
1429805947	871819	0	0	0	0	0	0	0	0	0
1429805947	971817	0	0	0	0	0	0	0	0	0
1429805948	71872	0	0	0	0	0	0	0	0	0
1429805948	171826	0	0	0	0	0	0	0	0	0
1429805948	271938	0	0	0	0	0	0	0	0	0
1429805948	371812	0	0	0	0	0	0	0	0	0
1429805948	471789	0	0	0	0	0	0	0	0	0
1429805948	571780	0	0	0	0	0	0	0	0	0
1429805948	671777	0	0	0	0	0	0	0	0	0
1429805948	771766	0	0	0	0	0	0	0	0	0
1429805948	871769	0	0	0	0	0	0	0	0	0
1429805948	971763	0	0	0	0	0	0	0	0	0
1429805949	71777	0	0	0	0	0	0	0	0	0
1429805949	171753	0	0	0	0	0	0	0	0	0
1429805949	271762	0	0	0	0	0	0	0	0	0
1429805949	371760	0	0	0	0	0	0	0	0	0
1429805949	471762	0	0	0	0	0	0	0	0	0
1429805949	571765	0	0	0	0	0	0	0	0	0
1429805949	671748	0	0	0	0	0	0	0	0	0
1429805949	771754	0	0	0	0	0	0	0	0	0
1429805949	871866	0	0	0	0	0	0	0	0	0
1429805949	971764	0	0	0	0	0	0	0	0	0
1429805950	71767	0	0	0	0	0	0	0	0	0
1429805950	171767	0	0	0	0	0	0	0	0	0
1429805950	271769	0	0	0	0	0	0	0	0	0
1429805950	371763	0	0	0	0	0	0	0	0	0
1429805950	471765	0	0	0	0	0	0	0	0	0
1429805950	571766	0	0	0	0	0	0	0	0	0
1429805950	671770	0	0	0	0	0	0	0	0	0
1429805950	771767	0	0	0	0	0	0	0	0	0
1429805950	871765	0	0	0	0	0	0	0	0	0
1429805950	971784	0	0	0	0	0	0	0	0	0
1429805951	71766	0	0	0	0	0	0	0	0	0
1429805951	171761	0	0	0	0	0	0	0	0	0
1429805951	271783	0	0	0	0	0	0	0	0	0
1429805951	371778	0	0	0	0	0	0	0	0	0
1429805951	471787	0	0	0	0	0	0	0	0	0
1429805951	571777	0	0	0	0	0	0	0	0	0
1429805951	671792	0	0	0	0	0	0	0	0	0
1429805951	771789	0	0	0	0	0	0	0	0	0
1429805951	871878	0	0	0	0	0	0	0	0	0
1429805951	971865	0	0	0	0	0	0	0	0	0
1429805952	71799	0	0	0	0	0	0	0	0	0
1429805952	171815	0	0	0	0	0	0	0	0	0
1429805952	271842	0	0	0	0	0	0	0	0	0
1429805952	371836	0	0	0	0	0	0	0	0	0
1429805952	471837	0	0	0	0	0	0	0	0	0
1429805952	571822	0	0	0	0	0	0	0	0	0
1429805952	671839	0	0	0	0	0	0	0	0	0
1429805952	771827	0	0	0	0	0	0	0	0	0
1429805952	871842	0	0	0	0	0	0	0	0	0
1429805952	971845	0	0	0	0	0	0	0	0	0
1429805953	71859	0	0	0	0	0	0	0	0	0
1429805953	171869	0	0	0	0	0	0	0	0	0
1429805953	271790	0	0	0	0	0	0	0	0	0
1429805953	371847	0	0	0	0	0	0	0	0	0
1429805953	471794	0	0	0	0	0	0	0	0	0
1429805953	571762	0	0	0	0	0	0	0	0	0
1429805953	671758	0	0	0	0	0	0	0	0	0
1429805953	771761	0	0	0	0	0	0	0	0	0
1429805953	871797	0	0	0	0	0	0	0	0	0
1429805953	971756	0	0	0	0	0	0	0	0	0
1429805954	71744	0	0	0	0	0	0	0	0	0
1429805954	171763	0	0	0	0	0	0	0	0	0
1429805954	271770	0	0	0	0	0	0	0	0	0
1429805954	371759	0	0	0	0	0	0	0	0	0
1429805954	471764	0	0	0	0	0	0	0	0	0
1429805954	571758	0	0	0	0	0	0	0	0	0
1429805954	671744	0	0	0	0	0	0	0	0	0
1429805954	771761	0	0	0	0	0	0	0	0	0
1429805954	871748	0	0	0	0	0	0	0	0	0
1429805954	971755	0	0	0	0	0	0	0	0	0
1429805955	71772	0	0	0	0	0	0	0	0	0
1429805955	171783	0	0	0	0	0	0	0	0	0
1429805955	271766	0	0	0	0	0	0	0	0	0
1429805955	371754	0	0	0	0	0	0	0	0	0
1429805955	471765	0	0	0	0	0	0	0	0	0
1429805955	571757	0	0	0	0	0	0	0	0	0
1429805955	671753	0	0	0	0	0	0	0	0	0
1429805955	771763	0	0	0	0	0	0	0	0	0
1429805955	871767	0	0	0	0	0	0	0	0	0
1429805955	971779	0	0	0	0	0	0	0	0	0
1429805956	71764	0	0	0	0	0	0	0	0	0
1429805956	171757	0	0	0	0	0	0	0	0	0
1429805956	271774	0	0	0	0	0	0	0	0	0
1429805956	371772	0	0	0	0	0	0	0	0	0
1429805956	471782	0	0	0	0	0	0	0	0	0
1429805956	571787	0	0	0	0	0	0	0	0	0
1429805956	671761	0	0	0	0	0	0	0	0	0
1429805956	771757	0	0	0	0	0	0	0	0	0
1429805956	871839	0	0	0	0	0	0	0	0	0
1429805956	971830	0	0	0	0	0	0	0	0	0
1429805957	71765	0	0	0	0	0	0	0	0	0
1429805957	171787	0	0	0	0	0	0	0	0	0
1429805957	271799	0	0	0	0	0	0	0	0	0
1429805957	371808	0	0	0	0	0	0	0	0	0
1429805957	471860	0	0	0	0	0	0	0	0	0
1429805957	571801	0	0	0	0	0	0	0	0	0
1429805957	671814	0	0	0	0	0	0	0	0	0
1429805957	771809	0	0	0	0	0	0	0	0	0
1429805957	871871	0	0	0	0	0	0	0	0	0
1429805957	971827	0	0	0	0	0	0	0	0	0
1429805958	71818	0	0	0	0	0	0	0	0	0
