time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809781	496150	-118.654	-88.9035	140.78	-0.417853	-4.75734	-0.405574	-9.73815	0.0622705	-0.186812	
1429809781	546444	-127.584	-88.8052	149.69	-0.597963	-3.86514	-0.404852	-9.63277	0.0766406	-0.167651	
1429809781	596261	-134.561	-88.6898	156.646	-0.572501	-4.14982	-0.179837	-9.67109	0.0574805	-0.0670606	
1429809781	646298	-140.564	-88.561	162.635	-0.246118	-3.4204	-0.393878	-9.6663	0.0766406	-0.186812	
1429809781	696175	-144.422	-88.4448	166.483	-0.24809	-3.28884	-0.196929	-9.65672	0.114961	-0.167651	
1429809781	746425	-147.183	-88.3183	169.237	-0.208437	-2.65949	-0.339893	-9.68546	0.0670606	-0.105381	
1429809781	796195	-149.582	-88.1986	171.628	-0.0460307	-2.95827	-0.0406282	-9.72378	0.0862207	-0.114961	
1429809781	846254	-151.377	-88.0733	173.424	-0.164831	-2.63628	0.194075	-9.58966	0.119751	-0.114961	
1429809781	896219	-153.181	-87.9498	175.232	0.113789	-2.75187	0.159425	-9.64235	0.100591	-0.167651	
1429809781	946435	-154.683	-87.846	176.743	0.236265	-2.34103	-0.19634	-9.69504	0.0335303	-0.0287402	
1429809781	996167	-156.303	-87.7534	178.372	0.264004	-2.2165	-0.370608	-9.69504	0.0766406	-0.220342	
1429809782	46278	-157.58	-87.6724	179.662	0.24527	-2.01114	-0.579032	-9.6184	0.100591	-0.114961	
1429809782	96216	-158.808	-87.5896	-179.095	0.206104	-1.96711	0.19577	-9.6663	0.0670606	-0.196392	
1429809782	146448	-159.758	-87.5261	-178.132	0.336826	-1.82012	-0.18405	-9.70941	0.0814307	-0.177231	
1429809782	196092	-160.645	-87.4565	-177.224	0.440562	-1.85215	-0.401364	-9.64235	0.0431104	-0.186812	
1429809782	246342	-161.382	-87.391	-176.464	0.504558	-1.50842	0.316564	-9.69504	0.0431104	-0.143701	
1429809782	296131	-162.049	-87.3257	-175.776	0.402881	-1.18153	0.723573	-9.7142	0.0910107	-0.119751	
1429809782	346412	-162.294	-87.2719	-175.502	0.683154	-1.27229	0.311803	-9.6663	0.0431104	-0.0910107	
