time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429809778	959636	0	0	0	0	0	0	0	0	0
1429809779	59629	0	0	0	0	0	0	0	0	0
1429809779	159624	0	0	0	0	0	0	0	0	0
1429809779	259640	0	0	0	0	0	0	0	0	0
1429809779	359583	0	0	0	0	0	0	0	0	0
1429809779	459600	0	0	0	0	0	0	0	0	0
1429809779	559617	0	0	0	0	0	0	0	0	0
1429809779	659594	0	0	0	0	0	0	0	0	0
1429809779	759578	0	0	0	0	0	0	0	0	0
1429809779	859582	0	0	0	0	0	0	0	0	0
1429809779	959578	0	0	0	0	0	0	0	0	0
1429809780	59562	0	0	0	0	0	0	0	0	0
1429809780	159575	0	0	0	0	0	0	0	0	0
1429809780	259574	0	0	0	0	0	0	0	0	0
1429809780	359584	0	0	0	0	0	0	0	0	0
1429809780	459598	0	0	0	0	0	0	0	0	0
1429809780	559590	0	0	0	0	0	0	0	0	0
1429809780	659583	0	0	0	0	0	0	0	0	0
1429809780	759571	0	0	0	0	0	0	0	0	0
1429809780	859569	0	0	0	0	0	0	0	0	0
1429809780	959585	0	0	0	0	0	0	0	0	0
1429809781	59583	0	0	0	0	0	0	0	0	0
1429809781	159585	0	0	0	0	0	0	0	0	0
1429809781	259591	0	0	0	0	0	0	0	0	0
1429809781	359612	0	0	0	0	0	0	0	0	0
1429809781	459590	0	0	0	0	0	0	0	0	0
1429809781	559589	0	0	0	0	0	0	0	0	0
1429809781	659581	0	0	0	0	0	0	0	0	0
1429809781	759584	0	0	0	0	0	0	0	0	0
1429809781	859602	0	0	0	0	0	0	0	0	0
1429809781	959609	0	0	0	0	0	0	0	0	0
1429809782	59570	0	0	0	0	0	0	0	0	0
1429809782	159575	0	0	0	0	0	0	0	0	0
1429809782	259576	0	0	0	0	0	0	0	0	0
1429809782	359578	0	0	0	0	0	0	0	0	0
1429809782	459582	0	0	0	0	0	0	0	0	0
1429809782	559560	0	0	0	0	0	0	0	0	0
1429809782	659580	0	0	0	0	0	0	0	0	0
1429809782	759584	0	0	0	0	0	0	0	0	0
1429809782	859577	0	0	0	0	0	0	0	0	0
1429809782	959583	0	0	0	0	0	0	0	0	0
1429809783	59606	0	0	0	0	0	0	0	0	0
1429809783	159641	0	0	0	0	0	0	0	0	0
1429809783	259599	0	0	0	0	0	0	0	0	0
1429809783	360761	0	0	0	0	0	0	0	0	0
1429809783	459614	0	0	0	0	0	0	0	0	0
1429809783	559617	0	0	0	0	0	0	0	0	0
1429809783	659614	0	0	0	0	0	0	0	0	0
