time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429814523	985894	1.11644	-1.97519	-0.0175894	36.4362	-67.2319	0.466316	-9.14419	0.0239502	0.354463	
1429814524	35856	2.92572	-5.40778	-0.051043	36.2487	-69.4519	2.12886	-9.11065	-0.0239502	0.258662	
1429814524	85872	4.73241	-8.78872	-0.10433	35.7675	-67.9107	4.12372	-9.18729	0.00958008	0.273032	
1429814524	135898	6.55787	-12.1864	-0.171476	36.3883	-67.1964	6.01021	-9.13939	0.0191602	0.215552	
1429814524	185927	8.37096	-15.5326	-0.262013	36.0586	-66.0866	7.46869	-9.06275	0.0191602	0.244292	
1429814524	235911	10.2103	-18.858	-0.392181	36.1861	-65.2234	8.61859	-9.15856	-0.0239502	0.258662	
1429814524	285929	12.0603	-22.125	-0.556526	36.19	-64.4772	10.2547	-9.09628	0.0239502	0.263452	
1429814524	335938	13.9273	-25.3375	-0.727684	36.1229	-61.8887	12.1002	-9.07712	0.0766406	0.229922	
1429814524	385954	15.7848	-28.4447	-0.915818	35.8897	-60.5639	13.4087	-9.15376	0.00479004	0.225132	
1429814524	435962	17.6566	-31.5431	-1.11795	35.7358	-59.186	14.5902	-9.12982	-0.00479004	0.225132	
1429814524	486028	19.5293	-34.5215	-1.32662	35.0707	-57.0738	16.0126	-9.09628	-0.0335303	0.244292	
1429814524	536041	21.4248	-37.4425	-1.56835	34.94	-55.3379	17.5068	-9.15376	0.0191602	0.239502	
1429814524	585986	23.1313	-40.3954	-1.72398	23.6192	-62.5083	34.9915	-7.94668	-0.723296	0.819097	
1429814524	636004	25.2986	-42.8857	-2.12562	41.6909	-48.5683	14.3196	-10.1022	-1.24541	-0.349673	
1429814524	686023	27.1333	-45.3515	-2.38014	28.7936	-47.8344	31.7072	-9.62319	-2.03577	-0.785566	
1429814524	736061	29.3495	-47.9942	-2.89522	37.9887	-45.1443	17.5696	-9.84832	-0.704136	-0.483794	
1429814524	786028	31.3295	-50.4463	-3.28545	33.066	-34.7363	19.984	-9.93454	0.416733	-0.296982	
1429814524	836046	33.4316	-52.8198	-3.76002	36.0905	-38.8005	17.9892	-8.95258	0.450264	-0.0383203	
1429814524	885974	35.4443	-54.9327	-4.19024	34.7938	-32.7842	15.2026	-9.31663	0.306563	-0.172441	
1429814524	935981	37.516	-57.0991	-4.67315	35.1113	-35.9474	16.7463	-9.28789	0.0910107	-0.114961	
1429814524	986015	39.6156	-59.0735	-5.19628	34.3369	-33.079	17.2998	-8.95737	-0.277822	-0.220342	
1429814525	35998	41.7736	-61.014	-5.77236	33.9091	-35.7908	22.0383	-8.95737	-0.311353	-0.301772	
1429814525	85991	43.9721	-62.8507	-6.38752	33.4716	-34.2428	24.0559	-9.0388	-0.182021	-0.182021	
1429814525	136107	46.2557	-64.603	-7.06986	33.6633	-29.8765	22.6151	-9.05317	-0.00958008	-0.143701	
